,Unnamed: 0,agent0_angle,time,frames,agent1_angle,agent1_x,agent0_y,agent0_x,agent1_y,agent0_vx,agent0_vy,agent0_speed,agent0/agent1_dist,agent1_vx,agent1_vy,agent1_speed
439,439,204.927,Wed Mar 01 12:17:35 2017,440,273.302,57.0443,59.8579,62.797,62.3192,-4.160579296875037,1.1999628906249953,,6.257120342457861,0.015928710937500604,-1.881711718749991,
440,440,204.927,Wed Mar 01 12:17:35 2017,441,273.136,57.0458,59.8579,62.797,62.142,-3.1156558593749826,1.1649197265624638,,6.188167277150803,-1.8710925781250156,-1.8955166015624965,
441,441,221.206,Wed Mar 01 12:17:35 2017,442,269.944,56.8681,59.9676,62.5036,62.1407,-3.1124701171874523,1.1627958984374687,,6.039968862502524,-1.8870212890625162,-0.013804882812505553,
442,442,229.002,Wed Mar 01 12:17:35 2017,443,269.944,56.8681,59.9674,62.5039,62.1407,-2.0548037109375024,2.2098431640625185,,6.040320730722836,-1.885959374999981,-0.012742968750045755,
443,443,229.002,Wed Mar 01 12:17:35 2017,444,270.629,56.6905,60.1757,62.3101,62.1395,-5.1672738281250306,4.456853320312488,,5.952849284166363,-1.885959374999981,-0.012742968750045755,
444,444,223.012,Wed Mar 01 12:17:35 2017,445,271.041,56.6905,60.3871,62.0173,62.1395,-10.34091914062497,8.915830468750046,,5.607646921838071,0.0,0.0,
445,445,213.569,Wed Mar 01 12:17:35 2017,446,271.48900000000003,56.6905,61.0153,61.3363,62.1395,-11.37203769531252,10.020221093750038,,4.779883186857186,0.0,0.0,
446,446,206.075,Wed Mar 01 12:17:35 2017,447,271.48900000000003,56.6905,61.3307,60.9464,62.1395,-12.482799804687495,6.823859765624942,,4.332071357907204,0.03185742187500121,-3.763423437499982,
447,447,190.431,Wed Mar 01 12:17:35 2017,448,273.29200000000003,56.6935,61.6579,60.1608,61.7851,-12.524214453124937,4.672421874999976,,3.469632420012243,0.03185742187500121,-3.763423437499982,
448,448,181.711,Wed Mar 01 12:17:35 2017,449,273.813,56.6935,61.7707,59.767,61.7851,-8.382749609375006,1.3210210937500149,,3.0735337333434325,0.0,0.0,
449,449,175.856,Wed Mar 01 12:17:35 2017,450,274.502,56.6935,61.7823,59.3714,61.7851,-18.973218554687534,-2.6696519531249656,,2.677901463833202,0.0,0.0,
450,450,172.958,Wed Mar 01 12:17:35 2017,451,274.502,56.6935,61.5193,57.9803,61.7851,-22.18019902343753,-4.728703320312458,,1.3139649462599823,-1.8700306640624804,-1.8955166015624965,
451,451,173.365,Wed Mar 01 12:17:36 2017,452,270.53700000000003,56.5174,61.337,57.2827,61.6066,-23.224060546874977,-2.542222265625036,,0.8113989462650248,-1.8541019531249798,-3.7772283203124872,
452,452,181.693,Wed Mar 01 12:17:36 2017,453,267.9,56.5189,61.2799,55.7933,61.4294,-22.12073183593752,0.6615724609374295,,0.7408411503149653,-1.870030664062556,-1.8955166015624965,
453,453,190.4,Wed Mar 01 12:17:36 2017,454,268.69,56.3413,61.3993,55.1996,61.4281,-11.576987109375033,1.426150585937534,,1.1420631900205875,-1.8859593750000565,-0.013804882812505553,
454,454,196.711,Wed Mar 01 12:17:36 2017,455,268.69,56.3413,61.4142,54.7031,61.4281,-16.83983320312499,2.6622185546875206,,1.6382589691498692,0.0,0.0,
455,455,208.641,Wed Mar 01 12:17:36 2017,456,271.004,56.3413,61.65,53.6138,61.4281,-14.669280859374993,5.83521777343752,,2.7365116224858235,0.015928710937500604,-1.881711718749991,
456,456,212.555,Wed Mar 01 12:17:36 2017,457,274.504,56.3428,61.9637,53.3217,61.2509,-9.400063281249974,5.680178320312504,,3.1040504264589495,0.015928710937500604,-1.881711718749991,
457,457,212.553,Wed Mar 01 12:17:36 2017,458,274.938,56.3428,62.1849,52.7286,61.2509,-12.538019335937367,7.937807617187449,,3.7329341864008225,0.0,0.0,
458,458,202.263,Wed Mar 01 12:17:36 2017,459,274.938,56.3428,62.7112,52.14100000000001,61.2509,-9.39793945312498,6.761206835937475,,4.448325452347193,-1.887021289062441,-0.013804882812505553,
459,459,187.553,Wed Mar 01 12:17:36 2017,460,273.243,56.1651,62.8216,51.8436,61.2496,-8.453897851562605,1.3220830078125503,,4.598537403349025,-1.8710925781249401,-1.8965785156250317,
460,460,163.83700000000005,Wed Mar 01 12:17:36 2017,461,269.372,56.1666,62.8357,51.3449,61.0723,-6.355555664062515,0.17521582031250665,,5.134040363105846,0.03185742187500121,-3.764485351562517,
461,461,152.078,Wed Mar 01 12:17:36 2017,462,271.54900000000004,56.1681,62.8381,51.2451,60.8951,-5.335056250000016,-2.0112652343750663,,5.292558738455343,0.015928710937500604,-1.881711718749991,
462,462,135.915,Wed Mar 01 12:17:36 2017,463,271.54900000000004,56.1681,62.6463,50.8425,60.8951,-5.3796566406249875,-4.168012695312482,,5.606132071223438,-1.8870212890625162,-0.013804882812505553,
463,463,129.967,Wed Mar 01 12:17:36 2017,464,277.828,55.9904,62.4456,50.7385,60.8938,-3.2653857421875485,-4.227479882812495,,5.476361643463659,-1.855163867187515,-3.7782902343750226,
464,464,125.371,Wed Mar 01 12:17:36 2017,465,279.29900000000004,55.9934,62.2482,50.535,60.5393,-6.523338085937501,-7.371807421875023,,5.719656438108853,0.04778613281250181,-5.647258984374968,
465,465,140.034,Wed Mar 01 12:17:36 2017,466,280.742,55.9949,61.7514,50.1242,60.362,-5.450804882812435,-6.321574414062443,,6.032872520615696,0.015928710937500604,-1.8827736328124507,
