,agent0_x,time,agent1_x,agent0_y,agent1_angle,agent0_angle,agent1_y
209,Attraction,follows,31.6062,27.5977,31.9881,0.558297,2
210,Attraction,follows,31.8095,27.4897,34.4906,0.601975,2
211,Attraction,follows,31.9127,27.4884,36.134,0.630657,2
212,Attraction,follows,32.1163,27.3802,46.8406,0.817522,2
213,Attraction,follows,32.0136,27.3811,57.4531,1.00275,2
214,Attraction,follows,32.0167,27.4859,71.7265,1.25186,2
215,Attraction,follows,32.1198,27.4844,79.9638,1.39563,2
216,Attraction,follows,32.1226,27.5896,86.0312,1.50153,2
217,Attraction,follows,32.1197,27.4842,85.73899999999999,1.49643,2
218,Attraction,follows,32.1168,27.379,79.3337,1.38463,2
219,Attraction,follows,32.1168,27.3792,73.5001,1.28282,2
220,Attraction,follows,32.0107,27.2752,64.0856,1.1185,1
221,Attraction,follows,32.0136,27.3811,57.4531,1.00275,1
222,Attraction,follows,32.0101,27.276,42.6801,0.744908,1
223,Attraction,follows,32.0101,27.276,42.6801,0.744908,1
224,Attraction,follows,32.0096,27.2762,29.3497,0.51225,1
225,Attraction,follows,32.0067,27.1706,31.986,0.558261,1
226,Attraction,follows,32.1104,27.1691,46.8398,0.817509,1
227,Attraction,follows,32.1167,27.3798,59.968999999999994,1.0466600000000001,1
228,Attraction,follows,32.1168,27.3794,68.0108,1.1870100000000001,1
229,Attraction,follows,32.2167,27.2718,88.6704,1.54759,1
230,Attraction,follows,32.2163,27.2714,100.354,1.7515,1
231,Attraction,follows,32.3155,27.1645,122.741,2.14223,1
232,Attraction,follows,32.3122,27.059,129.237,2.25561,1
233,Attraction,follows,32.3087,26.9541,148.305,2.5884099999999997,1
234,Attraction,follows,32.2056,26.9555,155.102,2.70704,1
235,Attraction,follows,32.2022,26.85,160.09799999999998,2.7942400000000003,1
236,Attraction,follows,31.9933,26.7473,168.52599999999998,2.94133,1
237,Attraction,follows,31.9933,26.7473,168.52599999999998,2.94133,1
238,Attraction,follows,31.7841,26.6441,171.487,2.99302,1
239,Attraction,follows,31.7868,26.7493,162.821,2.84177,1
240,Attraction,follows,31.6868,26.855999999999998,159.072,2.7763400000000003,1
241,Attraction,follows,31.6841,26.75,148.311,2.58851,1
242,Attraction,follows,31.686999999999998,26.8554,145.827,2.5451599999999996,1
243,Attraction,follows,31.581,26.7508,141.715,2.47339,1
